selected 343 pairs -> 686 sides -> 199 build points  (3.4x fewer builds)
  197 build points to run, 2 already done
[86/197] servicecomb-java-chassis@f37cdb10d1aa      4 tests  0.5s  eta=21m
[87/197] servicecomb-java-chassis@766ffea3d8f9      4 tests  1.1s  eta=21m
[88/197] servicecomb-java-chassis@5f02b0a33b51      1 tests  0.5s  eta=20m
[89/197] servicecomb-java-chassis@b780639a167c      1 tests  1.1s  eta=20m
[90/197] shiro@f886f2bc8bc0                         1 tests  0.5s  eta=20m
[91/197] shiro@9888e876215c                         1 tests  1.1s  eta=19m
[92/197] Struts@f46104fa210a                        1 tests  0.5s  eta=19m
[93/197] Struts@0c9d769faec4                        1 tests  1.0s  eta=18m
[94/197] apollo@a882f3e8a0fe                        1 tests  0.5s  eta=18m
[95/197] apollo@735f58876903                        1 tests  1.1s  eta=18m
[96/197] apollo@0e14333e1e45                        1 tests  0.4s  eta=17m
[97/197] apollo@b00f23873bd2                        1 tests  1.1s  eta=17m
[98/197] apollo-java@5344bc4f0728                   1 tests  0.4s  eta=17m
[99/197] apollo-java@21259e5dcef3                   1 tests  1.1s  eta=16m
[100/197] edn-java@2d37e226a242                      1 tests  0.5s  eta=16m
[101/197] edn-java@9990787136aa                      1 tests  1.1s  eta=16m
[102/197] jersey@1b992379bed0                        1 tests  0.4s  eta=16m
[103/197] jersey@47e37bd48edf                        1 tests  1.0s  eta=15m
[104/197] ecchronos@555510803657                     1 tests  0.4s  eta=15m
[105/197] ecchronos@f0c60999313d                     1 tests  1.1s  eta=15m
[106/197] json-schema@7dbae50a9227                   1 tests  0.5s  eta=14m
[107/197] json-schema@f69ea3735798                   1 tests  1.1s  eta=14m
[108/197] json-schema@43fda7d4fae9                   3 tests  0.6s  eta=14m
[109/197] json-schema@4d08550b1f2c                   3 tests  1.1s  eta=14m
[110/197] jsondoc@16d42fd32fd2                       1 tests  0.5s  eta=13m
[111/197] jsondoc@3b3907f455ba                       1 tests  1.1s  eta=13m
[112/197] java-classmate@912adde71f67                1 tests  0.6s  eta=13m
[113/197] java-classmate@bd0b344c4b3b                1 tests  1.1s  eta=12m
[114/197] flowable-engine@7cf15574622e               7 tests  0.5s  eta=12m
[115/197] flowable-engine@c8e707d5e507               7 tests  1.1s  eta=12m
[116/197] flowable-engine@d2bb4257fb00               1 tests  0.4s  eta=12m
[117/197] flowable-engine@32376804f679               1 tests  1.1s  eta=12m
[118/197] flowable-engine@98723d5abf38               2 tests  0.4s  eta=11m
[119/197] flowable-engine@0f490495615e               2 tests  1.3s  eta=11m
[120/197] appengine-plugins-core@ca2690886ea5        1 tests  1.1s  eta=11m
[121/197] appengine-plugins-core@d3160f0e47ca        1 tests  1.1s  eta=11m
[122/197] jinjava@88ba76f530a4                       3 tests  0.4s  eta=10m
[123/197] jinjava@9f06136b8d04                       3 tests  1.1s  eta=10m
[124/197] immutables@b21e6bbfbb90                    5 tests  0.5s  eta=10m
[125/197] immutables@033039a2d11c                    5 tests  1.1s  eta=10m
[126/197] jndn-utils@b4f2fb28e48d                    2 tests  0.4s  eta=10m
[127/197] jndn-utils@d82c97c579ff                    2 tests  1.1s  eta=9m
[128/197] underscore-java@63890ce2fb73               1 tests  0.4s  eta=9m
[129/197] underscore-java@595dc34189b2               1 tests  1.1s  eta=9m
[130/197] json-io@a6f9b6bbf0bd                       4 tests  0.4s  eta=9m
[131/197] json-io@d0c8b93cb45d                       6 tests  1.0s  eta=9m
[132/197] json-io@c2c007c214c5                       2 tests  0.4s  eta=8m
[133/197] json-io@01f83bad2555                       1 tests  1.1s  eta=8m
[134/197] json-io@1d2fb64e2abf                       1 tests  0.6s  eta=8m
[135/197] jmeter-maven-plugin@cd921de8c642           1 tests  1.1s  eta=8m
[136/197] jmeter-maven-plugin@6636cd7cf376           1 tests  0.4s  eta=8m
[137/197] karate@935f0a8f4355                        2 tests  1.1s  eta=7m
[138/197] karate@dbae11816f3c                        2 tests  0.4s  eta=7m
[139/197] XChange@c7dd93591637                       1 tests  1.1s  eta=7m
[140/197] XChange@f23f951c2085                       1 tests  0.4s  eta=7m
[141/197] blade@e925dead8ebe                         5 tests  1.1s  eta=7m
[142/197] blade@81ba02a5038d                         1 tests  0.4s  eta=7m
[143/197] blade@aa32ce91386f                         4 tests  1.1s  eta=6m
[144/197] hutool@8761c24e029b                        1 tests  0.4s  eta=6m
[145/197] hutool@57d68a4db19e                        1 tests  1.0s  eta=6m
[146/197] moquette@bfe4ff9b016c                      1 tests  0.4s  eta=6m
[147/197] moquette@79053a360f26                      1 tests  1.1s  eta=6m
[148/197] json-schema-validator@0c2a8558f26c         1 tests  0.4s  eta=6m
[149/197] json-schema-validator@4ac0fbd881d4         1 tests  1.1s  eta=6m
[150/197] okta-hooks-sdk-java@918778779c7f           5 tests  0.4s  eta=5m
[151/197] okta-hooks-sdk-java@8bf25c84b54e          19 tests  1.1s  eta=5m
[152/197] okta-hooks-sdk-java@e7dc6a58b8a2          14 tests  0.4s  eta=5m
[153/197] crane4j@679c3f860fb8                       2 tests  1.0s  eta=5m
[154/197] crane4j@2b793b1ccbb2                       1 tests  0.4s  eta=5m
[155/197] crane4j@b65f73245443                       1 tests  1.1s  eta=5m
[156/197] crane4j@b73311aaa99c                       2 tests  0.4s  eta=5m
[157/197] hippo4j@ee2a81f6a79a                       1 tests  1.1s  eta=4m
[158/197] hippo4j@fa206974f4c8                       1 tests  0.5s  eta=4m
[159/197] OpenRefine@a68ba3b26c96                    2 tests  1.1s  eta=4m
[160/197] OpenRefine@f329963e41db                    2 tests  0.4s  eta=4m
[161/197] weblogic-monitoring-expo@a68055cb9819      5 tests  1.1s  eta=4m
[162/197] weblogic-monitoring-expo@06e529457340      5 tests  0.4s  eta=4m
[163/197] junit-quickcheck@bcec1ae07d45              2 tests  1.1s  eta=4m
[164/197] junit-quickcheck@724299313a33              2 tests  0.4s  eta=4m
[165/197] pmd@bdc08e44fd92                           1 tests  1.1s  eta=3m
[166/197] pmd@49bf4406341e                           1 tests  0.4s  eta=3m
[167/197] emobility-smart-charging@423542cd8a12      1 tests  1.1s  eta=3m
[168/197] emobility-smart-charging@40acb938bdbb      1 tests  0.4s  eta=3m
[169/197] pair-distribution-app@0be329d2897f         7 tests  1.1s  eta=3m
[170/197] pair-distribution-app@4d0ca2bdd77f         7 tests  0.4s  eta=3m
[171/197] scimono@7487ec5c28c1                       8 tests  1.0s  eta=3m
[172/197] scimono@d57a463e66bc                       8 tests  0.4s  eta=3m
[173/197] smooks@986f4314e0e0                        1 tests  1.1s  eta=2m
[174/197] smooks@9d67d66e21b8                        1 tests  0.5s  eta=2m
[175/197] snakeyaml@626340b5bcd5                     3 tests  1.1s  eta=2m
[176/197] snakeyaml@c34cdb01a3e3                     3 tests  0.4s  eta=2m
[177/197] snakeyaml-engine@9d2bca887ad1              4 tests  1.1s  eta=2m
[178/197] snakeyaml-engine@36cd98db2e98              4 tests  0.5s  eta=2m
[179/197] sonar-php@e4bbedc022b5                     1 tests  1.1s  eta=2m
[180/197] sonar-php@562d5f3f065d                     1 tests  0.5s  eta=2m
[181/197] tools@1f593e1a45ee                         2 tests  1.1s  eta=2m
[182/197] tools@bc35e25dacb7                         2 tests  0.4s  eta=1m
[183/197] JSON-java@f346203cd663                     2 tests  1.1s  eta=1m
[184/197] JSON-java@e6d37c469de9                     3 tests  0.4s  eta=1m
[185/197] JSON-java@d677a99f4ef5                     1 tests  1.0s  eta=1m
[186/197] FluentJPA@4faabd6739e5                     1 tests  0.4s  eta=1m
[187/197] FluentJPA@8690167a82b1                     1 tests  1.1s  eta=1m
[188/197] spring-cloud-tencent@dc2185df45a3          2 tests  0.4s  eta=1m
[189/197] spring-cloud-tencent@99eee2663f18          2 tests  1.1s  eta=1m
[190/197] undertow@c33cf563c53d                      1 tests  0.4s  eta=1m
[191/197] undertow@a0e804ce6992                      1 tests  1.1s  eta=1m
[192/197] wikidata-toolkit@10f971105701              2 tests  0.4s  eta=0m
[193/197] wikidata-toolkit@eb64d3eba60e              2 tests  1.1s  eta=0m
[194/197] wildfly@d2ec064d715d                      10 tests  0.4s  eta=0m
[195/197] wildfly@5e7263b13088                      10 tests  1.0s  eta=0m
[196/197] wildfly-core@ff32351070a4                  1 tests  0.4s  eta=0m
[197/197] wildfly-core@052dff953173                  1 tests  1.1s  eta=0m

pairs: {'ok': 57, 'partial': 1}
before: {'ok': 57, 'build_failed': 1}
after:  {'ok': 57, '': 1}
