package,class,method,descriptor,nesting,lines_covered,lines_total,coverage_pct,branches_covered,branches_missed,first_line
com.adobe.aem.commons.assetshare.content.impl,com.adobe.aem.commons.assetshare.content.impl.CombinedProperties,getProperties,()Lorg/apache/sling/api/resource/ValueMap;,top-level,1,1,100.0,0,0,204
com.adobe.aem.commons.assetshare.content.impl,com.adobe.aem.commons.assetshare.content.impl.CombinedProperties,getMetadataProperties,()Lorg/apache/sling/api/resource/ValueMap;,top-level,1,1,100.0,0,0,208
com.adobe.aem.commons.assetshare.content.impl,com.adobe.aem.commons.assetshare.content.impl.CombinedProperties,getComputedPropertiesMap,(Ljava/util/List;)Ljava/util/Map;,top-level,3,9,33.3,1,3,212
com.adobe.aem.commons.assetshare.content.impl,com.adobe.aem.commons.assetshare.content.impl.CombinedProperties,<clinit>,()V,top-level,1,1,100.0,0,0,37
com.adobe.aem.commons.assetshare.content.impl,com.adobe.aem.commons.assetshare.content.impl.CombinedProperties$ComputedPropertyParameter,<init>,(Ljava/lang/String;)V,nested,9,12,75.0,1,1,236
com.adobe.aem.commons.assetshare.content.impl,com.adobe.aem.commons.assetshare.content.impl.CombinedProperties$ComputedPropertyParameter,getCacheId,()Ljava/lang/String;,nested,1,1,100.0,0,0,265
com.adobe.aem.commons.assetshare.content.impl,com.adobe.aem.commons.assetshare.content.impl.CombinedProperties$ComputedPropertyParameter,getName,()Ljava/lang/String;,nested,1,1,100.0,0,0,269
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionStreamerImpl,<init>,()V,top-level,1,1,100.0,0,0,56
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionStreamerImpl,activate,(Lcom/adobe/aem/commons/assetshare/content/renditions/download/impl/AssetRenditionStreamerImpl$Cfg;)V,top-level,2,2,100.0,0,0,177
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionStreamerImpl,<clinit>,()V,top-level,1,1,100.0,0,0,57
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImpl,<init>,()V,top-level,1,1,100.0,0,0,50
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImpl,getZipEntryName,(Ljava/lang/String;Lcom/adobe/aem/commons/assetshare/content/AssetModel;Ljava/lang/String;Ljava/lang/String;Ljava/util/Set;)Ljava/lang/String;,top-level,15,16,93.8,1,1,172
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImpl,generateUniqueZipEntry,(Ljava/lang/String;Ljava/util/Set;)Ljava/lang/String;,top-level,4,5,80.0,1,1,198
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImpl,activate,(Lcom/adobe/aem/commons/assetshare/content/renditions/download/impl/AssetRenditionsZipperImpl$Cfg;)V,top-level,2,2,100.0,0,0,242
com.adobe.aem.commons.assetshare.content.renditions.download.impl,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImpl,<clinit>,()V,top-level,1,1,100.0,0,0,51
com.adobe.aem.commons.assetshare.content.renditions.impl,com.adobe.aem.commons.assetshare.content.renditions.impl.AssetRenditionDispatchersImpl,<init>,()V,top-level,2,2,100.0,0,0,49
com.adobe.aem.commons.assetshare.content.renditions.impl,com.adobe.aem.commons.assetshare.content.renditions.impl.AssetRenditionDispatchersImpl,bindAssetRenditionDispatcher,(Lcom/adobe/aem/commons/assetshare/content/renditions/AssetRenditionDispatcher;Ljava/util/Map;)V,top-level,3,3,100.0,0,0,55
com.adobe.aem.commons.assetshare.content.renditions.impl,com.adobe.aem.commons.assetshare.content.renditions.impl.AssetRenditionDispatchersImpl,<clinit>,()V,top-level,1,1,100.0,0,0,50
com.adobe.aem.commons.assetshare.content.renditions.impl,com.adobe.aem.commons.assetshare.content.renditions.impl.AssetRenditionsImpl,<init>,()V,top-level,1,1,100.0,0,0,41
com.adobe.aem.commons.assetshare.content.renditions.impl,com.adobe.aem.commons.assetshare.content.renditions.impl.AssetRenditionsImpl,<clinit>,()V,top-level,1,1,100.0,0,0,42
com.adobe.aem.commons.assetshare.components.actions.downloads.impl,com.adobe.aem.commons.assetshare.components.actions.downloads.impl.DownloadsImpl,<clinit>,()V,top-level,1,1,100.0,0,0,42
com.adobe.aem.commons.assetshare.content.properties.impl,com.adobe.aem.commons.assetshare.content.properties.impl.ComputedPropertiesImpl,<init>,()V,top-level,4,4,100.0,0,0,53
com.adobe.aem.commons.assetshare.content.properties.impl,com.adobe.aem.commons.assetshare.content.properties.impl.ComputedPropertiesImpl,getComputedProperties,()Ljava/util/List;,top-level,4,4,100.0,1,1,61
com.adobe.aem.commons.assetshare.content.properties.impl,com.adobe.aem.commons.assetshare.content.properties.impl.ComputedPropertiesImpl,<clinit>,()V,top-level,1,1,100.0,0,0,54
com.adobe.aem.commons.assetshare.util.impl,com.adobe.aem.commons.assetshare.util.impl.ModelCacheImpl,<clinit>,()V,top-level,2,2,100.0,0,0,20
com.adobe.aem.commons.assetshare.components.actions.download.impl,com.adobe.aem.commons.assetshare.components.actions.download.impl.DownloadImpl,<clinit>,()V,top-level,1,1,100.0,0,0,61
com.adobe.aem.commons.assetshare.components.structure.impl,com.adobe.aem.commons.assetshare.components.structure.impl.UserMenuImpl,<clinit>,()V,top-level,1,1,100.0,0,0,51
com.adobe.aem.commons.assetshare.search.impl,com.adobe.aem.commons.assetshare.search.impl.SearchImpl,<clinit>,()V,top-level,1,1,100.0,0,0,52
com.adobe.aem.commons.assetshare.components.details.impl,com.adobe.aem.commons.assetshare.components.details.impl.TagsImpl,<clinit>,()V,top-level,1,1,100.0,0,0,54
com.adobe.aem.commons.assetshare.components.details.impl,com.adobe.aem.commons.assetshare.components.details.impl.MetadataImpl,<clinit>,()V,top-level,1,1,100.0,0,0,59
com.adobe.aem.commons.assetshare.components.details.impl,com.adobe.aem.commons.assetshare.components.details.impl.RenditionsImpl,<clinit>,()V,top-level,1,1,100.0,0,0,66
com.adobe.aem.commons.assetshare.components.details.impl,com.adobe.aem.commons.assetshare.components.details.impl.ImageImpl,<clinit>,()V,top-level,1,1,100.0,0,0,56
